event_id,user_id,user_group,user_type,session_id,property_id,event_type,event_timestamp,event_age_days,event_weight,recency_weight,final_event_weight,hidden_match_score
E00000001,U00251,short_term,business_traveller,S_U00251_001,1146530223380423199,check_location,2026-04-23 02:12:05,1.41,3.0,0.9845,2.9534,0.8593
E00000002,U00251,short_term,business_traveller,S_U00251_001,3555199,view_images,2026-04-23 02:39:14,1.39,3.0,0.9847,2.954,0.532
E00000003,U00251,short_term,business_traveller,S_U00251_001,903499229169960606,open_listing,2026-04-24 04:22:27,0.32,1.0,0.9965,0.9965,0.7029
E00000004,U00251,short_term,business_traveller,S_U00251_001,669835137209289617,view_images,2026-04-23 07:56:57,1.17,3.0,0.9871,2.9613,0.8495
E00000005,U00251,short_term,business_traveller,S_U00251_001,1104077338520911793,open_listing,2026-04-23 14:40:58,0.89,1.0,0.9902,0.9902,0.8435
E00000006,U00251,short_term,business_traveller,S_U00251_001,39066677,check_amenities,2026-04-23 01:45:25,1.43,3.0,0.9843,2.9528,0.6038
E00000007,U00251,short_term,business_traveller,S_U00251_001,31419733,save_property,2026-04-23 16:11:52,0.83,6.0,0.9909,5.9452,0.8635
E00000008,U00251,short_term,business_traveller,S_U00251_001,1370798708558730829,open_listing,2026-04-23 14:09:51,0.91,1.0,0.9899,0.9899,0.7603
E00000009,U00251,short_term,business_traveller,S_U00251_001,1408891,open_listing,2026-04-23 11:37:55,1.02,1.0,0.9888,0.9888,0.5034
E00000010,U00251,short_term,business_traveller,S_U00251_001,1358843627046973811,open_listing,2026-04-24 02:08:50,0.41,1.0,0.9954,0.9954,0.8736
E00000011,U00251,short_term,business_traveller,S_U00251_001,959627722615193473,open_listing,2026-04-24 00:10:44,0.49,1.0,0.9945,0.9945,0.6934
E00000012,U00251,short_term,business_traveller,S_U00251_001,985169834031789216,open_listing,2026-04-23 13:16:08,0.95,1.0,0.9895,0.9895,0.8132
E00000013,U00251,short_term,business_traveller,S_U00251_001,940268927196206743,impression,2026-04-24 01:11:02,0.45,0.2,0.995,0.199,0.6401
E00000014,U00251,short_term,business_traveller,S_U00251_001,5136638,save_property,2026-04-23 22:16:49,0.57,6.0,0.9937,5.962,0.8852
E00000015,U00251,short_term,business_traveller,S_U00251_001,874105715431085713,check_location,2026-04-23 12:53:54,0.96,3.0,0.9894,2.9681,1.0
E00000016,U00251,short_term,business_traveller,S_U00251_001,1074263538957796808,view_images,2026-04-23 09:16:18,1.11,3.0,0.9877,2.9631,0.6965
E00000017,U00251,short_term,business_traveller,S_U00251_001,5376308,view_images,2026-04-23 07:37:42,1.18,3.0,0.987,2.9609,0.6707
E00000018,U00251,short_term,business_traveller,S_U00251_001,1435347099810340753,open_listing,2026-04-23 13:44:57,0.93,1.0,0.9898,0.9898,0.8556
E00000019,U00251,short_term,business_traveller,S_U00251_001,1427370073684769196,contact_host,2026-04-23 09:04:18,1.12,10.0,0.9876,9.8761,0.7586
E00000020,U00252,short_term,business_traveller,S_U00252_001,1322811615716606006,view_images,2026-04-23 14:31:17,0.89,3.0,0.9901,2.9703,0.7741
E00000021,U00252,short_term,business_traveller,S_U00252_001,1406948154026360438,save_property,2026-04-23 03:14:33,1.36,6.0,0.9849,5.9097,0.8117
E00000022,U00252,short_term,business_traveller,S_U00252_001,1300228797666494756,view_images,2026-04-23 07:55:13,1.17,3.0,0.9871,2.9613,1.0
E00000023,U00252,short_term,business_traveller,S_U00252_001,763332060414309473,check_location,2026-04-24 08:35:32,0.14,3.0,0.9984,2.9953,0.7295
E00000024,U00252,short_term,business_traveller,S_U00252_001,985100703978508705,open_listing,2026-04-23 11:14:53,1.03,1.0,0.9886,0.9886,0.7905
E00000025,U00252,short_term,business_traveller,S_U00252_001,1048883513587258839,impression,2026-04-23 04:29:37,1.31,0.2,0.9855,0.1971,0.6822
E00000026,U00252,short_term,business_traveller,S_U00252_001,20630695,open_listing,2026-04-23 01:14:17,1.45,1.0,0.984,0.984,1.0
E00000027,U00252,short_term,business_traveller,S_U00252_001,745155317862269473,view_images,2026-04-23 05:24:37,1.27,3.0,0.9859,2.9578,0.7967
E00000028,U00252,short_term,business_traveller,S_U00252_001,1369399419604023802,open_listing,2026-04-22 12:41:34,1.97,1.0,0.9783,0.9783,0.7069
E00000029,U00252,short_term,business_traveller,S_U00252_001,24209894,check_location,2026-04-23 14:53:07,0.88,3.0,0.9903,2.9708,1.0
E00000030,U00252,short_term,business_traveller,S_U00252_001,1348212358561317199,open_listing,2026-04-24 05:04:47,0.29,1.0,0.9968,0.9968,0.8418
E00000031,U00252,short_term,business_traveller,S_U00252_001,49294253,view_images,2026-04-22 21:42:33,1.6,3.0,0.9824,2.9473,0.8485
E00000032,U00252,short_term,business_traveller,S_U00252_001,25489002,check_location,2026-04-23 17:29:08,0.77,3.0,0.9915,2.9744,0.8038
E00000033,U00252,short_term,business_traveller,S_U00252_001,42944280,view_images,2026-04-23 11:20:01,1.03,3.0,0.9886,2.9659,1.0
E00000034,U00252,short_term,business_traveller,S_U00252_001,1404667143986827485,save_property,2026-04-23 11:35:06,1.02,6.0,0.9888,5.9326,0.8523
E00000035,U00253,short_term,student_long_stay,S_U00253_001,1016913616334993564,open_listing,2026-04-23 11:29:55,1.02,1.0,0.9887,0.9887,0.5704
E00000036,U00253,short_term,student_long_stay,S_U00253_001,25696991,impression,2026-04-24 05:12:43,0.28,0.2,0.9969,0.1994,0.371
E00000037,U00253,short_term,student_long_stay,S_U00253_001,17412768,open_listing,2026-04-24 02:17:12,0.4,1.0,0.9955,0.9955,0.5969
E00000038,U00253,short_term,student_long_stay,S_U00253_001,1170628228533736324,impression,2026-04-23 19:29:18,0.69,0.2,0.9924,0.1985,0.6306
E00000039,U00253,short_term,student_long_stay,S_U00253_001,828530498676415537,view_images,2026-04-23 14:56:43,0.88,3.0,0.9903,2.9709,0.668
E00000040,U00253,short_term,student_long_stay,S_U00253_001,4106027,view_images,2026-04-24 03:49:39,0.34,3.0,0.9962,2.9887,0.6395
E00000041,U00253,short_term,student_long_stay,S_U00253_001,785673596102045485,contact_host,2026-04-23 15:58:33,0.83,10.0,0.9908,9.9077,0.7658
E00000042,U00253,short_term,student_long_stay,S_U00253_001,1366345205605674116,open_listing,2026-04-23 15:00:08,0.87,1.0,0.9903,0.9903,0.6522
E00000043,U00253,short_term,student_long_stay,S_U00253_001,1258640373998930740,open_listing,2026-04-24 05:22:11,0.28,1.0,0.9969,0.9969,0.7661
E00000044,U00254,short_term,business_traveller,S_U00254_001,29473505,check_location,2026-04-23 06:23:54,1.23,3.0,0.9864,2.9592,0.848
E00000045,U00254,short_term,business_traveller,S_U00254_001,1293295129023175950,save_property,2026-04-23 20:02:50,0.66,6.0,0.9926,5.9559,0.8535
E00000046,U00254,short_term,business_traveller,S_U00254_001,779378123090553899,open_listing,2026-04-23 19:24:53,0.69,1.0,0.9924,0.9924,0.7732
E00000047,U00254,short_term,business_traveller,S_U00254_001,1334844575380642980,view_images,2026-04-23 09:59:00,1.08,3.0,0.988,2.9641,0.9414
E00000048,U00254,short_term,business_traveller,S_U00254_001,1326573752100685428,view_images,2026-04-23 21:20:27,0.61,3.0,0.9932,2.9797,0.7352
E00000049,U00254,short_term,business_traveller,S_U00254_001,21460230,open_listing,2026-04-23 19:45:37,0.68,1.0,0.9925,0.9925,1.0
